sku;handle;produto;categoria;custo;venda;aliexpress;foto_local
escritorio-165;luminaria-clip-led;Luminária Clip LED;Escritório;34,71;69,42;https://pt.aliexpress.com/w/wholesale-clip+on+led+desk+lamp.html;assets/img/ali/escritorio-165.jpg
escritorio-166;suporte-monitor;Suporte Monitor;Escritório;68,38;136,76;https://pt.aliexpress.com/w/wholesale-monitor+riser+stand.html;assets/img/ali/escritorio-166.jpg
escritorio-167;fone-headset-call;Fone Headset Call;Escritório;65,27;130,54;https://pt.aliexpress.com/w/wholesale-office+headset+microphone.html;assets/img/ali/escritorio-167.jpg
escritorio-168;cadeira-lombar-portatil;Cadeira Lombar Portátil;Escritório;50,76;101,52;https://pt.aliexpress.com/w/wholesale-portable+lumbar+cushion+office.html;assets/img/ali/escritorio-168.jpg
escritorio-169;divisoria-gaveta;Divisória Gaveta;Escritório;26,94;53,88;https://pt.aliexpress.com/w/wholesale-drawer+dividers+adjustable.html;assets/img/ali/escritorio-169.jpg
escritorio-170;etiquetadora-manual;Etiquetadora Manual;Escritório;75,11;150,22;https://pt.aliexpress.com/w/wholesale-label+maker+machine.html;assets/img/ali/escritorio-170.jpg
escritorio-171;grampeador-pesado;Grampeador Pesado;Escritório;31,60;63,20;https://pt.aliexpress.com/w/wholesale-heavy+duty+stapler.html;assets/img/ali/escritorio-171.jpg
escritorio-172;quadro-branco-magnetico;Quadro Branco Magnético;Escritório;46,10;92,20;https://pt.aliexpress.com/w/wholesale-magnetic+whiteboard+small.html;assets/img/ali/escritorio-172.jpg
escritorio-173;cabo-organizador-kit;Cabo Organizador Kit;Escritório;22,27;44,54;https://pt.aliexpress.com/w/wholesale-cable+management+kit+desk.html;assets/img/ali/escritorio-173.jpg
escritorio-174;suporte-fone-mesa;Suporte Fone Mesa;Escritório;28,49;56,98;https://pt.aliexpress.com/w/wholesale-headphone+stand+desk.html;assets/img/ali/escritorio-174.jpg
escritorio-175;calculadora-solar;Calculadora Solar;Escritório;19,68;39,36;https://pt.aliexpress.com/w/wholesale-solar+desk+calculator.html;assets/img/ali/escritorio-175.jpg
escritorio-176;pasta-acordeao;Pasta Acordeão;Escritório;33,15;66,30;https://pt.aliexpress.com/w/wholesale-expanding+file+folder.html;assets/img/ali/escritorio-176.jpg
escritorio-177;relogio-mesa-digital;Relógio Mesa Digital;Escritório;37,30;74,60;https://pt.aliexpress.com/w/wholesale-digital+desk+clock.html;assets/img/ali/escritorio-177.jpg
escritorio-178;apoio-pes-escritorio;Apoio Pés Escritório;Escritório;53,87;107,74;https://pt.aliexpress.com/w/wholesale-under+desk+foot+rest.html;assets/img/ali/escritorio-178.jpg
escritorio-179;webcam-cover-kit-3;Webcam Cover Kit 3;Escritório;10,88;21,76;https://pt.aliexpress.com/w/wholesale-webcam+cover+slider+3.html;assets/img/ali/escritorio-179.jpg
escritorio-180;hub-mesa-qi;Hub Mesa Qi;Escritório;80,81;161,62;https://pt.aliexpress.com/w/wholesale-desk+usb+hub+wireless+charge.html;assets/img/ali/escritorio-180.jpg
cozinha-181;mini-processador;Mini Processador;Cozinha;59,05;118,10;https://pt.aliexpress.com/w/wholesale-mini+food+chopper+electric.html;assets/img/ali/cozinha-181.jpg
cozinha-182;balanca-digital-5kg;Balança Digital 5kg;Cozinha;35,22;70,44;https://pt.aliexpress.com/w/wholesale-kitchen+scale+5kg.html;assets/img/ali/cozinha-182.jpg
cozinha-183;descascador-3-em-1;Descascador 3 em 1;Cozinha;12,43;24,86;https://pt.aliexpress.com/w/wholesale-3+in+1+peeler.html;assets/img/ali/cozinha-183.jpg
cozinha-184;organizador-geladeira;Organizador Geladeira;Cozinha;40,92;81,84;https://pt.aliexpress.com/w/wholesale-fridge+organizer+bins.html;assets/img/ali/cozinha-184.jpg
cozinha-185;pote-hermetico-kit-6;Pote Hermético Kit 6;Cozinha;49,73;99,46;https://pt.aliexpress.com/w/wholesale-airtight+food+containers+6.html;assets/img/ali/cozinha-185.jpg
